gene,mean_log1p_CP10K,detection_fraction,sd_log1p_CP10K
PINK1,0.29950886249318037,0.3178707224334601,0.48991188223987553
AL663074.1,0.0,0.0,0.0
AL031728.1,0.00038500429037112904,0.0007604562737642585,0.01396138314206341
NBPF3,0.03894748092662696,0.04182509505703422,0.20408715194642824
ALPL,0.04997562069132262,0.05779467680608365,0.22655528780633666
LDLRAD2,0.0002855767439853733,0.0007604562737642585,0.010355849113783622
CELA3B,0.0,0.0,0.0
CELA3A,0.0,0.0,0.0
CDC42,1.2890082689215283,0.8091254752851711,0.7699180686676246
AL031281.2,0.0006655605708405675,0.0007604562737642585,0.02413517554518245
ZBTB40,0.0951345254471317,0.10266159695817491,0.31306712201319115
C1QA,0.0178642322431376,0.019011406844106463,0.1628689432462217
C1QC,0.0078479244696084,0.006844106463878327,0.12131188953074724
C1QB,0.016378379851554662,0.015209125475285171,0.15840796187207098
EPHB2,0.045624520195297134,0.049429657794676805,0.22502851743831206
KDM1A,0.21930488922584668,0.2555133079847909,0.4155903137523618
AL109936.6,0.0007925710846228151,0.0007604562737642585,0.028740948754293835
ZNF436-AS1,0.025917852304395122,0.028897338403041824,0.16387158448884073
MDS2,0.001148453489425066,0.001520912547528517,0.031209577130956262
RPL11,3.2944728718898606,0.9885931558935361,0.5882628182624139
ELOA,0.16649704309777297,0.19011406844106463,0.3808329530464399
PITHD1,0.32319629304176045,0.34372623574144484,0.5059985593878626
LYPLA2,0.06433203958595966,0.07984790874524715,0.24898846352670506
PNRC2,0.48939519011407534,0.43954372623574145,0.6408540550709898
AL591178.1,0.0,0.0,0.0
AL590683.1,0.0,0.0,0.0
GRHL3,0.0,0.0,0.0
NIPAL3,0.04589279601304982,0.057034220532319393,0.2091274100616535
RCAN3,0.04095841829478814,0.04258555133079848,0.21714504752014305
NCMAP,0.0,0.0,0.0
SRRM1,0.9076321379378347,0.6798479087452471,0.7546770199443318
CLIC4,0.3232727026221034,0.3239543726235741,0.5241848238093801
AL031432.1,0.017912497843255125,0.016730038022813688,0.14874095929507636
AL031432.5,0.003061863234750891,0.0038022813688212928,0.05034702207978417
AL031432.3,0.0029800693709046582,0.003041825095057034,0.06170646751558184
RHD,0.0,0.0,0.0
TMEM50A,0.9446186924690625,0.6980988593155893,0.7246803873548058
MACO1,0.17838026766671894,0.2,0.40254562014475553
LDLRAP1,0.05262705533623686,0.060836501901140684,0.2318954449548674
AL606491.1,0.002765948754286128,0.0022813688212927757,0.058385041001768424
MAN1C1,0.23134968573205789,0.24106463878326997,0.4565828073784415
SELENON,0.013784467986167203,0.01596958174904943,0.11945217437496247
MTFR1L,0.21852238420483458,0.23954372623574144,0.43580930955225233
AL033528.2,0.0020875725636778004,0.003041825095057034,0.038985381988112904
PDIK1L,0.03416263853520297,0.04106463878326996,0.18455893463671239
FAM110D,0.0,0.0,0.0
ZNF593,0.2820233663581596,0.3064638783269962,0.4780665524810649
CNKSR1,0.006032878025334239,0.0076045627376425855,0.0737245760535555
CATSPER4,0.0010257562484851904,0.0007604562737642585,0.037196925732080756
CEP85,0.0037029697575967136,0.00532319391634981,0.05503067771157182
SH3BGRL3,1.15579205991664,0.7254752851711027,0.8604616884053461
CD52,0.0479122828172801,0.033460076045627375,0.2905938435005934
DHDDS,0.06663554706598837,0.08365019011406843,0.2434824655796828
HMGN2,0.17049961182339263,0.1870722433460076,0.39862603032599103
RPS6KA1,0.014532902747068163,0.02053231939163498,0.10881236725583472
ARID1A,0.389469322409743,0.37870722433460074,0.5738493923119848
PIGV,0.06745808115949031,0.08517110266159696,0.2418618228747844
ZDHHC18,0.008432803061066014,0.011406844106463879,0.086345468510798
SFN,0.03134700854441008,0.03269961977186312,0.19290719700817868
AL034380.1,0.0,0.0,0.0
NUDC,0.6433941073237407,0.5695817490494297,0.6445875390091272
TRNP1,0.08287690291093988,0.09049429657794676,0.296419616480481
WDTC1,0.02956868412042307,0.03269961977186312,0.1781944755096954
TMEM222,0.19899116840252323,0.23269961977186313,0.40301995261042245
SYTL1,0.009292031452345778,0.011406844106463879,0.09034677204909877
GPR3,0.003375825073071435,0.0038022813688212928,0.058085508559592505
BX293535.1,0.012374670500756515,0.00988593155893536,0.13511578029904384
FAM76A,0.2346021141470421,0.22889733840304183,0.4826840954689507
STX12,0.2752624826445623,0.29581749049429656,0.481776524097551
PPP1R8,0.03175098013864071,0.03802281368821293,0.1738472838375294
THEMIS2,0.04616505338971989,0.061596958174904945,0.20112027137719835
SMPDL3B,0.0021711756898470905,0.0038022813688212928,0.03853100275685781
XKR8,0.03878687644461507,0.04790874524714829,0.19590298241340753
ATP5IF1,0.5369200883439499,0.48365019011406846,0.638095691955589
AL353622.2,0.0010559300862883632,0.001520912547528517,0.02757929159085373
SESN2,0.07585292487732591,0.09201520912547528,0.25973895096554384
MED18,0.02219255472046639,0.030418250950570342,0.1373966439731071
PHACTR4,0.19397426510480026,0.20912547528517111,0.42655733772052024
RCC1,0.10965040785172701,0.12167300380228137,0.33084291172897384
TRNAU1AP,0.15804944185120604,0.17186311787072242,0.3903201912550434
RAB42,0.019010106959385844,0.02585551330798479,0.12852402911565405
LINC01715,0.007994886512506771,0.00988593155893536,0.08660233153051458
AL360012.1,0.05761313804630647,0.060836501901140684,0.25220660012025364
GMEB1,0.10827963446997084,0.11482889733840304,0.3363690150420111
YTHDF2,0.36663840626136607,0.3703422053231939,0.5442219211927208
OPRD1,0.0,0.0,0.0
EPB41,0.04880649811852435,0.05399239543726236,0.22637907767397397
PTPRU,0.05945945902508715,0.07300380228136882,0.23992027403247052
MATN1-AS1,0.010227400585148238,0.012927756653992395,0.09760601454124229
LINC01778,0.0003747381879155024,0.0007604562737642585,0.013589104200391049
ZCCHC17,0.3141445388408791,0.33079847908745247,0.5035902483595975
SERINC2,0.07747688296157457,0.09429657794676806,0.2638526547715096
TINAGL1,0.29235126564367914,0.1612167300380228,0.7213953889264517
AL136115.1,0.000669648603963853,0.001520912547528517,0.01756300284729992
KHDRBS1,0.24427437797023832,0.26539923954372624,0.46231195991677665
TMEM39B,0.11840897207858535,0.1444866920152091,0.3237964261350294
KPNA6,0.28882207445009456,0.3041825095057034,0.49677785466259805
TXLNA,0.2785373655701643,0.3057034220532319,0.47092205850818447
CCDC28B,0.15347140849729618,0.1832699619771863,0.3641239672791021
IQCC,0.008524867975602762,0.011406844106463879,0.08485469760472682
DCDC2B,0.0023727001056378203,0.0022813688212927757,0.05585772388733045
EIF3I,0.6890231195016632,0.5771863117870722,0.6635132261370048
FAM167B,0.024277886938066786,0.029657794676806085,0.1509148034168923
LCK,0.019835667399469376,0.02129277566539924,0.15001387236056918
HDAC1,0.23574351150315348,0.25171102661596956,0.455752121941832
TSSK3,0.002357007677696862,0.0022813688212927757,0.050819441352143654
ZBTB8A,0.1245817926509232,0.1452471482889734,0.3427976891482302
RBBP4,0.27472894865265973,0.2828897338403042,0.49255718103907525
KIAA1522,0.04062855768436965,0.050190114068441066,0.19366485660759844
S100PBP,0.13961748112583414,0.1650190114068441,0.3454232120984298
HPCA,0.0007285507199159877,0.001520912547528517,0.018781079819422456
AL020995.1,0.0,0.0,0.0
AZIN2,0.06489863710026317,0.07984790874524715,0.24201347830048597
AL662907.3,0.0006743968514761593,0.001520912547528517,0.017314054822995972
ZNF362,0.14086443104667187,0.16045627376425856,0.35477708783456485
ZSCAN20,0.006692577210846331,0.008365019011406844,0.086674296712421
GJB5,0.0003391168284739748,0.0007604562737642585,0.012297369381735068
GJB4,0.0,0.0,0.0
GJB3,0.005363670184714446,0.006844106463878327,0.06817872818959207
GJA4,0.11471364399453286,0.06920152091254753,0.45503334783420585
ZMYM1,0.09876732233868372,0.10570342205323194,0.3209243557641113
ZMYM4,0.3163378674962048,0.3155893536121673,0.5337153041600936
NCDN,0.0017348969217828945,0.0022813688212927757,0.036510973680809904
TFAP2E,0.0018606638846513151,0.003041825095057034,0.03475686117631972
AGO4,0.10174644663933609,0.12091254752851711,0.3073166437736029
AGO1,0.15375889015242428,0.16273764258555132,0.3856410767715237
AGO3,0.290855411250296,0.2859315589353612,0.5187044345595838
ADPRHL2,0.1283507436514653,0.16730038022813687,0.31694311249319645
MAP7D1,0.35127772138329977,0.35665399239543727,0.5294919545549346
THRAP3,0.7594121710181639,0.6060836501901141,0.6957218764546013
SH3D21,0.003942778901409555,0.0076045627376425855,0.04613114658963282
AL591845.1,0.02050278610639689,0.025095057034220533,0.15728000101148798
ZC3H12A,0.2291155628095964,0.2220532319391635,0.4819103087805164
DNALI1,0.0534518440467176,0.0699619771863118,0.218163250848288
CDCA8,0.015489461323355023,0.015209125475285171,0.1351392769767983
MANEAL,0.004073094558305858,0.00532319391634981,0.0638850164342752
C1orf122,0.642172670548625,0.5406844106463878,0.6681562355315506
AL929472.2,0.036151958533321905,0.03650190114068441,0.2070053680781607
UTP11,0.2929911527459658,0.3057034220532319,0.49617734073797864
