"sample","MCP_full","MCP_FAP13_matrix4_purged","MCP_SenMayo_FAP13_purged","MCP_SenMayo_matrix4_purged","MCP_global_disjoint","EPIC_full","EPIC_FAP13_matrix4_purged","EPIC_SenMayo_FAP13_purged","EPIC_SenMayo_matrix4_purged","EPIC_global_disjoint"
"TCGA-DM-A0XF-01",11.6236875,10.22944,11.5758428571429,10.5176333333333,10.22944,0.153905853153318,0.0471625641086773,0.152488119269487,0.0474692073102908,0.0469564919867608
"TCGA-DM-A1D0-01",9.049775,7.68332,9.02308571428572,7.9422,7.68332,0.0263406155087311,0.0208473789943068,0.0260863335125385,0.0208971454205491,0.0207429549699119
"TCGA-DM-A1D4-01",8.9244,7.5678,8.86402857142857,7.86433333333333,7.5678,0.0235105545427715,0.00488762478416883,0.0231517986364848,0.00490584365301503,0.00479941324896691
"TCGA-DM-A1D6-01",9.6734625,8.262,9.6317,8.54596666666667,8.262,0.0402964768090851,0.0102513154165518,0.0396778650363428,0.0103722747266241,0.0103834638649473
"TCGA-DM-A1D7-01",10.6729875,9.332,10.5479285714286,9.7014,9.332,0.0555292568481082,0.0143392246916805,0.0547897519391805,0.0143806335562171,0.0142993898819709
"TCGA-DM-A1D8-01",10.63925,9.46944,10.6139714285714,9.6939,9.46944,0.0531781826548494,0.018337629451024,0.0526851726103633,0.0183981975978111,0.0182640447632147
"TCGA-DM-A1D9-01",10.8363375,9.53488,10.8148571428571,9.77685,9.53488,0.0757387872356195,0.0261994559042849,0.0752700535888303,0.0262794453735735,0.0260617586960982
"TCGA-DM-A1DA-01",10.3777,8.95168,10.3218142857143,9.25455,8.95168,0.0689605953806448,0.00521810753147308,0.0680412281744859,0.00527351414864391,0.00516266180519454
"TCGA-DM-A1DB-01",9.2826375,8.0375,9.19251428571429,8.35016666666667,8.0375,0.0237092530655149,0.00403813733608781,0.023396389734087,0.00409727564926809,0.00388914859142816
"TCGA-DM-A1HA-01",8.7737375,7.42644,8.57605714285714,7.88161666666667,7.42644,0.0131900232303676,0.00140000456078498,0.0131135561197175,0.00143742074963889,0.0013988398474821
"TCGA-DM-A1HB-01",11.4439625,10.1117,11.5259857142857,10.23805,10.1117,0.136500310463635,0.0117631123534227,0.134548954287494,0.0117568872001065,0.0116597857883527
"TCGA-DM-A280-01",11.9383125,10.30914,11.8167142857143,10.7225333333333,10.30914,0.200173478279855,0.0173979164121336,0.197925840540628,0.016881520681289,0.0166403380402919
"TCGA-DM-A282-01",11.7448375,10.2313,11.6745285714286,10.5655833333333,10.2313,0.172049354075328,0.0293724211315993,0.170451399638608,0.0294870351753187,0.0292492149228533
"TCGA-DM-A285-01",12.52155,11.02744,12.4078142857143,11.40915,11.02744,0.283020438800903,0.0547263654570319,0.280385134643013,0.0550204262255884,0.0552373599363204
"TCGA-DM-A288-01",10.3045,8.86824,10.2275142857143,9.19743333333333,8.86824,0.0579600845637653,0.00735546139463562,0.0572751081322826,0.00735353510267298,0.00725669028580994
