"sample","dataset","FAP13","matrix4","receptor2"
"GSM972150","discovery",-0.147946413807328,0.190068970239867,-0.862902089100751
"GSM972151","discovery",-1.02459850081832,-0.985565299693572,0.57862379890358
"GSM972152","discovery",-0.731278344570133,-0.761898572039635,-0.0928025559361002
"GSM972153","discovery",-0.356853594474383,-0.210841851809519,0.705173851873267
"GSM972154","discovery",-0.641369095208877,-0.034760648197517,0.575417107637431
"GSM972155","discovery",-0.779846818753952,-0.503527716414596,-0.326376354879006
"GSM972156","discovery",-0.0582853424395005,0.218912441928414,0.541653295296285
"GSM972157","discovery",-0.0340204519986591,0.39685732877603,-0.033116283828582
"GSM972158","discovery",0.746167135338209,0.672395657323129,0.559235694042862
"GSM972159","discovery",-0.390845169687592,-0.141732551984036,-0.407639442887236
"GSM972160","discovery",0.296936183071936,0.450622408000677,-0.436760358255528
"GSM972161","discovery",-0.434028152940094,-0.0497837708498102,0.419747557764541
"GSM972162","discovery",0.560892119808136,0.813255807774438,0.865357027554509
"GSM972163","discovery",-0.372998842364353,-0.448998722215027,0.0575092818457905
"GSM972164","discovery",0.584998111116052,0.915369829097889,0.534646836487797
"GSM972165","discovery",0.662908413737463,0.94514174158867,-0.672665991677772
"GSM972166","discovery",-0.147500271890867,0.490171778586372,0.346009094958363
"GSM972167","discovery",-0.0352824729145519,0.298636920631572,0.701743318397025
"GSM972168","discovery",0.626793746386556,0.942996021459542,0.900088263341152
"GSM972169","discovery",-0.419041979269829,-0.482882217975335,1.15989314551051
"GSM972170","discovery",0.271232159021357,0.727123655126732,-0.237787465393197
"GSM972171","discovery",0.268098763764749,0.640439541840468,-0.217461091214961
"GSM972172","discovery",-1.19611338526915,-1.84064092521746,0.049843104853297
"GSM972173","discovery",-0.02722142630632,-0.00369111300009019,0.0346461726109033
"GSM972174","discovery",-0.686771703843735,-0.68059891106252,0.241225236047533
"GSM972175","discovery",-0.410144962345766,-0.896956030024824,0.22453829832175
"GSM972176","discovery",0.603642879100348,0.764138094662593,-0.0911356581233281
"GSM972177","discovery",-0.05793628052365,-0.0655210596560596,0.0357585936926366
"GSM972178","discovery",-1.2756774453888,-1.92592246316677,0.369940187982026
"GSM972179","discovery",0.71584187292845,0.799240905937183,0.761367870909941
"GSM972180","discovery",-0.913453978115873,-0.964163309992442,-1.42289117065587
"GSM972181","discovery",1.97302050376322,1.54325501528998,0.116710017995114
"GSM972182","discovery",-0.566768127559908,-0.582616804410929,-0.342889621508861
"GSM972183","discovery",-1.31461644571014,-2.05311789876645,-1.01248829815315
"GSM972184","discovery",0.698237291324265,0.838297445350519,0.0560823153528567
"GSM972185","discovery",-0.282677986800551,-0.599846179220146,-0.21956185462534
"GSM972186","discovery",1.1306978227344,1.08385327956744,-0.239452419298088
"GSM972187","discovery",1.08419530586204,0.767148779560048,-0.463398218457514
"GSM972188","discovery",-0.278037474392185,-0.374294362033687,-0.300873786604352
"GSM972189","discovery",-0.642156785461186,-1.05204250241671,0.457267282886254
"GSM972190","discovery",-0.354908633744547,0.0603528193765599,-0.242882891836666
"GSM972191","discovery",-0.528435294200127,-0.198264333807488,-0.557779418235572
"GSM972192","discovery",0.126353811747795,0.204279532662081,0.657434497586418
"GSM972193","discovery",-0.707874200937903,-1.11941918718777,0.435210162665697
"GSM972194","discovery",-0.49166886265613,-0.832796528273075,-0.0660500196381158
"GSM972195","discovery",-0.514364715138941,-0.817912171105923,0.771058052611498
"GSM972196","discovery",-0.640252769047337,-0.609965597786772,0.679586672364301
"GSM972197","discovery",-0.138298810001192,-0.368962630656376,0.0152551425513964
"GSM972198","discovery",-0.834775859001636,-1.61677260682197,-0.459938795435314
"GSM972199","discovery",-0.690855366406324,-0.897751664117089,-0.453674403084545
"GSM972200","discovery",0.0507940157815695,-0.0596330594260063,-0.00630595582531812
"GSM972201","discovery",0.928490198123148,1.21275048020811,-0.246971319257084
"GSM972202","discovery",-0.433306355713834,-0.374319189662835,-0.0303779862575287
"GSM972203","discovery",0.0694265775034616,-0.581461201736978,0.435636736308355
"GSM972204","discovery",0.197807728175189,0.236187789761297,0.320915446464805
"GSM972205","discovery",-0.2689169095658,-0.663408650037148,-0.0973198357264025
"GSM972206","discovery",0.356271729021177,0.895784106809433,-0.525743431197434
"GSM972207","discovery",0.332552231239013,0.427451105474231,-0.331345814734756
"GSM972208","discovery",0.795509170347776,0.857397941947,0.830094568696119
"GSM972209","discovery",-0.428990988448885,0.185654356624623,-0.818752242461711
"GSM972210","discovery",0.21538793691522,0.0947813129007262,-0.0727907230896265
"GSM972211","discovery",-0.0127978725331421,0.0610721308233079,-0.466823915523243
"GSM972212","discovery",-0.7429681901383,-2.28455679418311,0.491762294180066
"GSM972213","discovery",-0.205752158191756,0.986081398241422,-2.93871360709825
"GSM972214","discovery",-1.05757816295706,-1.71294122675902,-1.30142339647825
"GSM972215","discovery",0.305558814646537,-0.105602001467164,-0.167514588905692
"GSM972216","discovery",-0.865821643123395,-1.93541759531895,0.0128660885247205
