class,cell_type,cell_subtype,gene,n_cells,mean_log_normalized,median_log_normalized,positive_cells,positive_percent
Normal,Epithelial cells,Mature Enterocytes type 2,SNAI1,131,0.025274182085957594,0.0,2,1.5267175572519083
Normal,Epithelial cells,Mature Enterocytes type 2,SNAI2,131,0.0,0.0,0,0.0
Normal,Epithelial cells,Mature Enterocytes type 2,TWIST1,131,0.0,0.0,0,0.0
Normal,Epithelial cells,Stem-like/TA,FAP,406,0.0017200425755728003,0.0,1,0.24630541871921183
Normal,Epithelial cells,Stem-like/TA,COL1A1,406,0.03439672082407808,0.0,33,8.12807881773399
Normal,Epithelial cells,Stem-like/TA,COL1A2,406,0.05711212436828626,0.0,52,12.807881773399016
Normal,Epithelial cells,Stem-like/TA,COL3A1,406,0.039068678426307145,0.0,38,9.35960591133005
Normal,Epithelial cells,Stem-like/TA,FN1,406,0.15060196133629758,0.0,88,21.67487684729064
Normal,Epithelial cells,Stem-like/TA,POSTN,406,0.005158573612630058,0.0,6,1.477832512315271
Normal,Epithelial cells,Stem-like/TA,ACTA2,406,0.04299983306752575,0.0,43,10.591133004926109
Normal,Epithelial cells,Stem-like/TA,TAGLN,406,0.046271705629856844,0.0,43,10.591133004926109
Normal,Epithelial cells,Stem-like/TA,CXCL12,406,0.025088118685604777,0.0,20,4.926108374384237
Normal,Epithelial cells,Stem-like/TA,CCL2,406,0.17407974574997348,0.0,129,31.773399014778324
Normal,Epithelial cells,Stem-like/TA,CD74,406,0.6668618501962441,0.5839295643568205,306,75.36945812807882
Normal,Epithelial cells,Stem-like/TA,HLA-DRA,406,0.2388891364235826,0.0,154,37.93103448275862
Normal,Epithelial cells,Stem-like/TA,CLDN1,406,0.011320950843354207,0.0,12,2.955665024630542
Normal,Epithelial cells,Stem-like/TA,CLDN2,406,0.0,0.0,0,0.0
Normal,Epithelial cells,Stem-like/TA,CLDN3,406,2.705992653812319,2.7160700926398427,404,99.50738916256158
Normal,Epithelial cells,Stem-like/TA,CLDN4,406,2.7179474931847705,2.757907588734448,404,99.50738916256158
Normal,Epithelial cells,Stem-like/TA,CLDN7,406,1.585864846546373,1.6525849330379643,393,96.79802955665025
Normal,Epithelial cells,Stem-like/TA,CLDN18,406,0.0,0.0,0,0.0
Normal,Epithelial cells,Stem-like/TA,OCLN,406,0.3289264207918799,0.217808463930089,208,51.231527093596064
Normal,Epithelial cells,Stem-like/TA,TJP1,406,0.24663726050313914,0.0,179,44.08866995073892
Normal,Epithelial cells,Stem-like/TA,CDH1,406,0.6064984863779638,0.6540481979965025,308,75.86206896551724
Normal,Epithelial cells,Stem-like/TA,EPCAM,406,2.594677755338325,2.604103715932667,404,99.50738916256158
Normal,Epithelial cells,Stem-like/TA,VIM,406,0.2690785097237469,0.0,197,48.52216748768473
Normal,Epithelial cells,Stem-like/TA,ZEB1,406,0.005412933819526554,0.0,6,1.477832512315271
Normal,Epithelial cells,Stem-like/TA,SNAI1,406,0.028020039610074196,0.0,27,6.65024630541872
Normal,Epithelial cells,Stem-like/TA,SNAI2,406,0.004436518611048825,0.0,4,0.9852216748768473
Normal,Epithelial cells,Stem-like/TA,TWIST1,406,0.0,0.0,0,0.0
Normal,Mast cells,Mast cells,FAP,184,0.009799450476599067,0.0,1,0.5434782608695652
Normal,Mast cells,Mast cells,COL1A1,184,0.00653775606191691,0.0,1,0.5434782608695652
Normal,Mast cells,Mast cells,COL1A2,184,0.03249253501634586,0.0,3,1.6304347826086956
Normal,Mast cells,Mast cells,COL3A1,184,0.027411070454621187,0.0,3,1.6304347826086956
Normal,Mast cells,Mast cells,FN1,184,0.008743468584048376,0.0,1,0.5434782608695652
Normal,Mast cells,Mast cells,POSTN,184,0.03037265124372753,0.0,3,1.6304347826086956
Normal,Mast cells,Mast cells,ACTA2,184,0.03443344544236413,0.0,4,2.1739130434782608
Normal,Mast cells,Mast cells,TAGLN,184,0.02919906879875698,0.0,3,1.6304347826086956
Normal,Mast cells,Mast cells,CXCL12,184,0.0,0.0,0,0.0
Normal,Mast cells,Mast cells,CCL2,184,0.39247622869216914,0.0,29,15.760869565217392
Normal,Mast cells,Mast cells,CD74,184,0.42249022153799964,0.0,41,22.282608695652172
Normal,Mast cells,Mast cells,HLA-DRA,184,0.23013480932259817,0.0,23,12.5
Normal,Mast cells,Mast cells,CLDN1,184,0.0,0.0,0,0.0
Normal,Mast cells,Mast cells,CLDN2,184,0.0,0.0,0,0.0
