test_ligand,auroc,aupr,aupr_corrected,pearson,rank,sender_mean_count,sender_positive_percent,cellchat_direct_support
PRNP,0.570294671900838,0.0257338420515379,0.00930006052416289,0.0273433133273942,141,1.13732394366197,57.0422535211268,FALSE
LAMB1,0.572769701811433,0.0242833972110974,0.00784961568372243,0.0272525314035258,142,1,53.5211267605634,TRUE
CXCL3,0.56052738204905,0.0235933469401098,0.00715956541273479,0.0271390273207931,143,2.9612676056338,54.9295774647887,FALSE
ANXA2,0.576210853436165,0.0234181477798562,0.00698436625248117,0.0270923855334735,144,9.72887323943662,92.6056338028169,FALSE
TIMP1,0.574022984331814,0.0252260463194983,0.00879226479212334,0.0269950392820545,145,58.6408450704225,99.6478873239437,FALSE
PRSS3,0.555969122329523,0.0232284724392134,0.00679469091183838,0.0269159660475289,146,0.144366197183099,12.6760563380282,FALSE
NRP1,0.571587612236394,0.0248557962618322,0.00842201473445723,0.0268815879092575,147,0.440140845070423,30.2816901408451,FALSE
ENPP1,0.562862415094042,0.0228477613339772,0.00641397980660218,0.0268521280979657,148,0.285211267605634,13.0281690140845,FALSE
FN1,0.579824014861645,0.0243796134983886,0.00794583197101362,0.026836887837224,149,26.2007042253521,97.1830985915493,TRUE
HLA-DPB1,0.55660651420227,0.0230862420554699,0.00665246052809492,0.0268197756754111,150,0.415492957746479,31.3380281690141,FALSE
CXCL14,0.562800778248751,0.0217816440441491,0.00534786251677407,0.0267891459455458,151,3.97183098591549,36.2676056338028,FALSE
HAS2,0.55367565831973,0.0224626190887778,0.0060288375614028,0.0267432502191748,152,0.316901408450704,17.9577464788732,FALSE
SEMA3C,0.556911353793573,0.0227575577084507,0.00632377618107572,0.0265876426387931,153,0.330985915492958,19.0140845070423,FALSE
PSEN1,0.571487273185948,0.0237170050132845,0.00728322348590952,0.0265572756214135,154,0.373239436619718,30.6338028169014,FALSE
RPS19,0.563240358850655,0.0231640545369381,0.00673027300956309,0.0265490628378806,155,46.7640845070423,99.6478873239437,FALSE
MXRA5,0.570705106397616,0.0230423438482374,0.00660856232086242,0.026372116634814,156,3.55985915492958,84.1549295774648,FALSE
SLPI,0.53898172109185,0.0224007456371032,0.00596696410972819,0.0263147742197436,157,0.130281690140845,11.6197183098592,FALSE
HBEGF,0.588867430135352,0.0264024639910238,0.00996868246364885,0.0262312066793751,158,0.278169014084507,17.9577464788732,FALSE
LGALS9,0.558799161356666,0.02293566389754,0.00650188237016503,0.0262195355314357,159,0.397887323943662,25,FALSE
TGOLN2,0.560785396750162,0.0226677114617014,0.00623392993432641,0.0262018143380531,160,0.73943661971831,48.5915492957747,FALSE
ADAM15,0.556258194355783,0.0232402749872578,0.00680649345988283,0.0261968086993,161,0.151408450704225,13.7323943661972,FALSE
MIF,0.558004571638245,0.022636433717148,0.00620265218977296,0.0261198279302067,162,6.76056338028169,90.8450704225352,FALSE
