gene,logFC,logCPM,F,PValue,FDR
HABP4,-0.988916362874694,2.58406281609553,10.7074839414918,0.00522465615391608,0.275483891077337
HP1BP3,0.72436758182774,5.68935510178119,10.6696560059409,0.00526089971245889,0.276219526852026
EIF2B3,-0.63577968535588,3.39359796955269,10.6479968899687,0.00530550383585528,0.27738606763748
GEMIN6,-0.926351610384154,4.04016969105263,10.6171473520013,0.00535272180357447,0.278130797453874
DOCK8,2.73075585410602,1.43958347273268,10.6067849065994,0.00537144884287261,0.278130797453874
ADAM15,0.785706274176615,5.57066709769211,10.5865460862521,0.0053997584724146,0.278130797453874
ADAMTS9,2.26012585951641,2.29069636434709,10.5886909875979,0.00543834422973746,0.278130797453874
CNGA1,1.71874057642838,1.44375969341721,10.5907831588397,0.00545424560290837,0.278130797453874
ZCCHC24,-3.64914293482441,3.12807166853002,10.5017009688237,0.00551566456186548,0.278130797453874
SIK1,1.55911667837251,1.9756357538462,10.5301462561713,0.00554015476187639,0.278130797453874
GARS,-0.838550576321024,6.14729019852474,10.4974273882831,0.00555302216229414,0.278130797453874
SEMA4D,0.974176197883884,3.46692870783203,10.4934881515264,0.00556584883026135,0.278130797453874
SULF1,1.86862588482218,0.943957747066152,10.4890898135241,0.00560681710585475,0.278130797453874
CNKSR1,1.03428116857451,4.36343135225233,10.457364276394,0.005625353815656,0.278130797453874
YAE1D1,-1.22349742718272,4.63582741676133,10.4382337479095,0.0056605786892932,0.278130797453874
CDK5RAP1,-1.02111270705645,4.07796614201351,10.438718269905,0.00566170899589265,0.278130797453874
NDUFAF4,-0.964838785332817,5.70438371259612,10.4239627880765,0.0056835258538077,0.278130797453874
RPP25L,-0.668092971506939,5.3253606747632,10.4230944429556,0.00568519111645988,0.278130797453874
SLC15A3,1.72739950085918,1.27669621480128,10.4573788701172,0.005687692296094,0.278130797453874
GNG11,1.76381208592559,1.66478114572801,10.4463183267638,0.00570133343178791,0.278130797453874
SMIM22,0.844758296723873,8.27876317444275,10.3736603483438,0.00577414671138266,0.278784949171593
CDK2AP1,1.26720963613222,2.33886124986922,10.3463784601381,0.0058534275563914,0.278784949171593
C2CD4B,2.45621883428638,1.88153885851833,10.3569060135365,0.00585895931279418,0.278784949171593
UQCRHL,0.914063147357407,4.84217388245494,10.3168730780182,0.00588012003165296,0.278784949171593
IL6ST,0.763308218802631,4.01716872862825,10.3034658351844,0.0059072757173142,0.278784949171593
MAP1LC3B,-0.71623346045849,7.39428671597579,10.2891151476697,0.00593114261429196,0.278784949171593
CACNA1C,3.90455461798449,3.4097425020631,10.3053436759781,0.00594421105257456,0.278784949171593
NQO2,-1.10010157798648,5.06082682479231,10.2794443436708,0.00595091854043557,0.278784949171593
MRPL53,0.881166985297119,2.95502739423688,10.277536652834,0.00596570125889137,0.278784949171593
PANK4,0.865913069154179,1.51358787319248,10.3012843600679,0.00596751701495575,0.278784949171593
COL4A1,1.56176890303369,2.31742131999528,10.2605366054326,0.00601913557277199,0.278784949171593
SNX5,-1.19656948908031,6.26905640990919,10.2350816901792,0.00603424908759959,0.278784949171593
CALD1,1.22978242734464,2.27912651629303,10.2488553952245,0.00603878602685947,0.278784949171593
POFUT1,-1.16347631060511,4.1825373776768,10.2224485923738,0.00606371352166427,0.278784949171593
ARFGEF3,0.739626544665692,4.05501138134132,10.2118200269104,0.00608187657563252,0.278784949171593
RIMS3,2.20631683233896,1.67595526557841,10.2133141391779,0.00613532188210612,0.278784949171593
IMMP2L,-1.30889934880194,3.80682837177921,10.1867956330561,0.00613722813740599,0.278784949171593
CMB9-22P13.1,0.71536671233061,2.81952912368723,10.1839531324567,0.00614793859451894,0.278784949171593
C1orf159,0.802065462535169,2.8429903397406,10.1617939743931,0.00619138409188694,0.278784949171593
ENC1,-1.27444640597494,5.35325121633987,10.1407997878801,0.00621965356797935,0.278784949171593
TNFRSF11B,3.10152553379238,4.51759628328716,10.1374166861927,0.00623396984164331,0.278784949171593
PSMG4,-0.661654234396237,5.38081784416768,10.1326676836973,0.00623538355690544,0.278784949171593
SSBP1,-0.964190661252181,7.83992570056679,10.1283846798033,0.00624327572425297,0.278784949171593
PPP3R1,0.607195820791428,3.91346287325523,10.1244447878001,0.00625471841414759,0.278784949171593
ST6GALNAC6,1.68285884091309,2.62156048201488,10.1241692169797,0.00627794838490691,0.278817413754056
SLC44A3,0.820123952263992,5.03308317739117,10.0512153929494,0.00640068181167444,0.280916985975922
RAB15,1.22768919898909,4.05726556906545,10.0520466388744,0.00640136142866926,0.280916985975922
AHDC1,1.1969634271654,2.65413264549338,10.0566907085538,0.00640930916111452,0.280916985975922
MCTS1,-0.878308422224772,6.67419063806042,10.0434448644678,0.0064159072739235,0.280916985975922
EBP,-0.807538869482807,7.05765203811099,10.0023045506023,0.00650132132282384,0.283275175111024
PSMA7,-0.995745880583932,9.60067659561153,9.97759713479473,0.00655330336399703,0.283275175111024
DNAJC1,-0.900642724397688,5.71638751726998,9.96312240349931,0.00658455606823796,0.283275175111024
DOK7,1.49161538494898,0.87485277618859,9.99090679531969,0.00658994139908096,0.283275175111024
DPH3,-0.694846271581596,5.57458472847741,9.9288054852276,0.00665795112010831,0.283275175111024
CLTA,-0.793629001848081,8.49953222196305,9.92491341583122,0.00666575371724389,0.283275175111024
PRR15,-1.1641763281421,5.71396890128156,9.92206043197258,0.00667259815624361,0.283275175111024
