patient,row,col,DefineTypes,FAP_fibroblasts,SPP1_macrophages,immune_score,epithelial_flag,nhood_FAP_fibroblasts,nhood_SPP1_macrophages,nhood_immune_score,nhood_epithelial_flag,habitat
P6,425.03289136,63.78500324,Unknown,0.412918552735372,0.351726539880646,0.142394895554942,0,0.411424236033913,0.252380732320805,0.0408106310013244,0.142857142857143,Epithelial/other
P6,275.66247128,346.02518552,Endothelial cells,0.254755277763259,0.326086755536971,0,0,0.280149442499995,0.228547091712485,0.0357734511185857,0,Epithelial/other
P6,505.01785712,521.78162344,Malignant epithelial cells,0.169560807414921,0.256960404666305,0,1,0.189676840777759,0.267541491848994,0,1,Epithelial/other
P6,471.9037806,390.41533804,MARCO_FAP,0.613118743652509,0.465070147716485,0.0941418814533767,0,0.715920631968986,0.453326359754639,0.044687058485693,0,FAP+CAF/SPP1+TAM
P6,52.73444876,136.40293268,Endothelial cells,0.377272496544585,0.462607092701734,0.130267361424533,0,0.42556549668836,0.434677105875008,0.0989658685786616,0,SPP1+TAM-dominant
P6,484.57057264,270.17478096,MSC cells,0.900722176031815,0.389923889336364,0.126477241582945,0,0.803092845316405,0.414774520080542,0.0918690161884873,0.142857142857143,FAP+CAF/SPP1+TAM
P6,138.92125632,492.9524558,Epitheial cells,0.102384313879033,0,0,0,0.108075635617496,0.121298914739674,0.125836882440209,0,TLS-like immune
P6,478.18079624,311.52039296,MSC cells,0.329068109731217,0.450788600558627,0,0,0.381810741095786,0.297531890652074,0.104484249522473,0.285714285714286,TLS-like immune
P6,197.66961228,474.00864812,Epitheial cells,0,0.122075801084683,0,0,0.128634573560977,0.12699974619462,0.0142125275957582,0,Epithelial/other
P6,464.34880968,93.70419156,Malignant epithelial cells,0.382313079121489,0.328492363509707,0,1,0.411162031234624,0.333468111405086,0.0332083632580105,0.714285714285714,Epithelial/other
P6,340.27438676,120.42849168,MSC cells,0.67684299281598,0.480100380555352,0,0,0.387399627513091,0.423159890379003,0,0.571428571428571,SPP1+TAM-dominant
P6,464.23604892,56.15485848,Unknown,0.612328374359587,0.322399563015425,0.178885255286235,0,0.641673588588879,0.381399304952915,0.099935074248589,0.142857142857143,FAP+CAF/SPP1+TAM
P6,511.29487276,442.88667836,MARCO_FAP,0.240201862575657,0.333667444134891,0,0,0.327659332655051,0.328783377069468,0.00715929456659836,0.285714285714286,Epithelial/other
P6,111.89626084,230.10712424,Fibroblast cells,0.097498500780511,0.0935985607492906,0,0,0.279709926206293,0.262818144914283,0,0,Epithelial/other
P6,235.63240148,105.73200596,Myofibroblast cells,0.347671289337632,0.294275950350757,0,0,0.419921127767713,0.339488055487933,0.0310958143202947,0,Epithelial/other
P6,217.40274528,507.72411536,Epitheial cells,0.105091777528307,0.342119184206176,0,0,0.142073530051782,0.238330750866779,0.0853943393589232,0,TLS-like immune
P6,477.57940552,131.21593772,Malignant epithelial cells,0.359239750833365,0.26274239654644,0,1,0.456885902554762,0.368410378109965,0.0428425891410993,0.571428571428571,Epithelial/other
P6,451.83236532,251.53166864,Malignant epithelial cells,0.866317697210293,0.404043684115022,0.0887008213568517,1,0.810937082813154,0.426834541446516,0.0635673420143207,0.571428571428571,FAP+CAF/SPP1+TAM
P6,406.08908368,255.44070832,Malignant epithelial cells,0.372292828278325,0.301117642960883,0,1,0.647364154241607,0.455957839992523,0.0425220881848319,0.571428571428571,FAP+CAF/SPP1+TAM
P6,203.57075872,282.39052996,Fibroblast cells,0,0.0975553846932627,0,0,0.172369543541024,0.168661004483067,0,0,Epithelial/other
P6,203.11971568,147.19037872,MARCO_FAP,0.4823016210968,0.491405169026169,0,0,0.434695057280762,0.385166205827518,0.0314858245889992,0.714285714285714,SPP1+TAM-dominant
P6,112.61041232,447.99849948,Epitheial cells,0.0730099125608542,0.144438119463997,0.112706143041825,0,0.136267175502804,0.158883058465506,0.0449144076261589,0,Epithelial/other
