drug,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh,sensitivity_rank
OTX015_1626,191,192,2.47743993750672,2.67071305109712,-0.193273113590394,2.54005027224911,2.70536239170063,-0.165312119451523,0.00834426594284355,0.012422290651752,80
ERK_2440_1713,191,192,2.63145877355428,2.78397142351521,-0.152512649960927,2.62710103817743,2.78970747238067,-0.162606434203241,1.60821501900352e-24,1.76903652090387e-23,81
MK-2206_1053,191,192,3.11371912906716,3.34184549411158,-0.228126365044417,3.17478058401222,3.33487528922278,-0.160094705210561,0.000876659158321536,0.00143453316816251,82
UMI-77_1939,191,192,2.79614295135255,2.92547673605614,-0.129333784703592,2.77377016339015,2.93124548588607,-0.157475322495921,1.48140988693945e-07,4.19027368020015e-07,83
Oxaliplatin_1806,191,192,5.06738569469055,5.30628686941906,-0.238901174728512,5.15455802090118,5.31131635105748,-0.156758330156307,0.012704038923153,0.0182275341071325,84
Ruxolitinib_1507,191,192,4.88896798493551,4.99734625989301,-0.108378274957493,4.85443475753952,5.01110540428276,-0.156670646743247,0.00022986684385441,0.000420592428331861,85
MN-64_1854,191,192,4.64492311583995,4.79191301850028,-0.146989902660333,4.64782541851745,4.80403431743406,-0.156208898916608,1.11422207900339e-09,3.93957092219055e-09,86
Ulixertinib_2047,191,192,2.19684281501535,2.4068266205375,-0.209983805522142,2.25197089525335,2.40742907988383,-0.155458184630479,0.000231538256000873,0.000420592428331861,87
VE821_2111,191,192,4.36182215839235,4.51061889602465,-0.148796737632305,4.3467659826632,4.4985829726557,-0.1518169899925,0.0242672183416825,0.032247712964115,88
Buparlisib_1873,191,192,0.962304971822008,1.11012604268937,-0.147821070867359,0.976194384644647,1.12780959467698,-0.151615210032331,9.11816042468381e-08,2.65499377071676e-07,89
Foretinib_2040,191,192,1.02804423374829,1.14545030709293,-0.117406073344643,1.04243515327128,1.19401830341069,-0.151583150139412,0.000249790306245797,0.000449622551242434,90
Sinularin_1838,191,192,3.61232552404785,3.74678873794612,-0.134463213898276,3.60531698558358,3.75049052515014,-0.145173539566558,9.44138270294051e-06,2.01010083352927e-05,91
AZD8186_1918,191,192,3.28971767562851,3.43430010315222,-0.144582427523706,3.28826764590745,3.43146071327109,-0.143193067363644,3.54010185610549e-20,2.80376067003555e-19,92
GSK591_2110,191,192,4.70656177690979,4.78869306472726,-0.082131287817468,4.66969643521578,4.81070473378881,-0.141008298573024,0.00852774990440299,0.0125073665264577,93
Mirin_1048,191,192,4.86345075870298,5.02533811742293,-0.161887358719949,4.91637617291063,5.05406486559648,-0.13768869268585,0.000221678296446801,0.000410208436415576,94
Epirubicin_1511,191,192,-0.962000863076431,-0.80159201673196,-0.16040884634447,-0.942790790171791,-0.805307263996974,-0.137483526174817,0.0142689858787772,0.0201804228856992,95
