source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,sample_id,patient_id,replicate,sender_spots,receiver_spots,prespecified_direction
Fibroblastic_stroma,Fibroblastic_stroma,FN1,CD44,0.112043794439566,0.04,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Fibroblastic_stroma,FN1,CD44,0.0803206742101607,0.94,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor,FN1,CD44,0.0587045490687327,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,TRUE
Tumor_stroma,Tumor,FN1,CD44,0.114355947173534,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor_stroma,FN1,CD44,0.0895978673144604,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Tumor_stroma,FN1,CD44,0.11190969880642,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A1,CD44,0.165219733438012,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor,COL1A1,CD44,0.0860803348453076,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,TRUE
Tumor_stroma,Tumor,COL1A1,CD44,0.160297102603768,0.01,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A1,CD44,0.131596021123661,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Tumor_stroma,COL1A1,CD44,0.157078167015196,0.45,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
